CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
DRTSC.2.2211,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2212,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2213,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2214,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2215,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2216,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2217,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2218,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2219,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2220,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2221,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2222,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
DRTSC.2.2223,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D5
20.3.13.4.05.001,CHARLIE Y LA FÁBRICA DE CHOCOLATE,ROALD DAHL,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.002,FRANKENSTEIN O EL MODERNO PROMETEO,MARY SHELLEY,"LOQUELEO, SANTILLANA",AFECTADO POR HUMEDAD,M3A1
20.3.13.4.05.003,MATILDA,ROALD DAHL,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.004,EL EXTRAÑO CASO DEL DR. JEKYLL & MR. HYDE,ROBERT LOUIS STEVENSON,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.005,LA METAMORFOSIS / FRANZ KAFKA SU VIDA Y OBRA,"FRANZ KAFKA
",EDITORIAL NORMA,EXCELENTE,M3A1
20.3.13.4.05.006,ACHA LA CUCARACHA,ALEJANDRA OSORIO,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.007,ACHA LA CUCARACHA,ALEJANDRA OSORIO,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.008,ACUALAXIA,GABRIEL WOLTKE,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.009,ACUALAXIA,GABRIEL WOLTKE,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.010,ROALD DAHL / AGU TROT,ROALD DAHL,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.011,ROALD DAHL / AGU TROT,ROALD DAHL,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.012,ANBU,CÉSAR FRANCISCO YUMÁN,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.013,ANBU,CÉSAR FRANCISCO YUMÁN,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.014,ANTOLOGÍA DE CUENTOS DE TERROR. NOCHES DE PESADILLA,ANBROSE BIERCE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.015,ANTOLOGÍA DE CUENTOS DE TERROR. NOCHES DE PESADILLA,ANBROSE BIERCE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.016,ANTES DE MÍ,FLOR AGUILERA / LEONOR PÉREZ,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.017,ANTES DE MÍ,FLOR AGUILERA / LEONOR PÉREZ,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.018,NARRATIVA SALVADOREÑA. ANTOLOGÍA,"DIEGO GARCIA DE PALACIO, ALBERTO MASFERRER, ARTURO AMBROGI, CLAUDIA LARS, SALARRUÉ Y OTROS","LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.019,NARRATIVA SALVADOREÑA. ANTOLOGÍA,"DIEGO GARCIA DE PALACIO, ALBERTO MASFERRER, ARTURO AMBROGI, CLAUDIA LARS, SALARRUÉ Y OTROS","LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.020,"AZUL, Y BUENAS NOCHES",DAVID MARTÍN DEL CAMPO,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.021,"AZUL, Y BUENAS NOCHES",DAVID MARTÍN DEL CAMPO,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.022,BAJO EL CEREZO,FRANCISCO MONTAÑA,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.023,BAJO EL CEREZO,FRANCISCO MONTAÑA,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.024,BOLA DE PELOS,GABRIEL WOLTKE,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.025,BOLA DE PELOS,GABRIEL WOLTKE,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.026,BOLITA,M.B. BROZON,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.027,BOLITA,M.B. BROZON,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.028,BOSTEZAURIO,ANTONIO GONZÁLEZ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.029,BOSTEZAURIO,ANTONIO GONZÁLEZ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.030,CINCO ,ROSARIO RÍOS,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.031,CINCO ,ROSARIO RÍOS,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
