CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
DRTSC.2.001,INTRODUCCIÓN A LA PROGRAMACIÓN ,EDGARDO ALBERTO ROMERO MASÍS,EDITORIAL UNIVERSIDAD DON BOSCO,EXCELENTE,M1A1
DRTSC.2.002,"DOS: SISTEMA OPERATIVO. MANUAL BÁSICO, LO QUE USTED NECESITA SABER",JAIME HERNÁNDEZ C.,EDITORIAL CEIBA ATLÁNTIDA,BUEN ESTADO,M1A1
DRTSC.2.003,"BOLETÍN BIBLIOGRÁFICO / BIBLIOTECAS JUDICIALES ""DR. RICARDO GALLARDO""  No. 13 DE ENERO - ABRIL DE 1998",DR. RICARDO GALLARDO,-,BUEN ESTADO,M1A1
DRTSC.2.004,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2004 AL 30 DE ABRIL DE 2005,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.005,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2005 AL 30 DE ABRIL DE 2006,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.006,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2005 AL 30 DE ABRIL DE 2006,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.007,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2006 AL 30 DE ABRIL DE 2007,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.008,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2007 AL 30 DE ABRIL DE 2008,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.009,ENCICLOPEDIA ILUSTRADA DE BIOLOGÍA,DISTRIBUIDORA ESCAR E. U.,DISTRIBUIDORA ESCAR E. U.,EXCELENTE,M1A1
DRTSC.2.010,ENCICLOPEDIA ILUSTRADA DE BIOLOGÍA,DISTRIBUIDORA ESCAR E. U.,DISTRIBUIDORA ESCAR E. U.,EXCELENTE,M1A1
DRTSC.2.011,1000 COSAS SUPER INTERESANTES QUE LOS NIÑOS QUIEREN SABER,"SABINE FRITZ, ELKE SCHWALM Y OTROS AUTORES",PANAMERICANA EDITORIAL,EXCELENTE,M1A1
DRTSC.2.012,1000 COSAS SUPER INTERESANTES QUE LOS NIÑOS QUIEREN SABER,"SABINE FRITZ, ELKE SCHWALM Y OTROS AUTORES",PANAMERICANA EDITORIAL,EXCELENTE,M1A1
DRTSC.2.013,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.014,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.015,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.016,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.017,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.018,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.019,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.020,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.021,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.022,"ANÁLISIS: REVISTA DEL INSTITUTO DE INVESTIGACIÓN CIENTÍFICA UNSSA, TOMO II, N° 12 / 13, ENERO  - FEBRERO 1999",UNIVERSIDAD NUEVA SAN SALVADOR,ARTYCOLOR EDITORES IMPRESORES,EXCELENTE,M1A1
DRTSC.2.023,"ANAQUELES: REVISTA DE LA BIBLIOTECA NACIONAL ""FRANCISCO GAVIDIA"" NUEVA ÉPOCA, No. 01, 2015",SECRETARIA DE CULTURA DE LA PRESIDENCIA  / DIRECCIÓN NACIONAL DE ARCHIVO Y BIBLIOTECAS,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.024,"ANAQUELES: REVISTA DE LA BIBLIOTECA NACIONAL ""FRANCISCO GAVIDIA"" NUEVA ÉPOCA, No. 01, 2015",SECRETARIA DE CULTURA DE LA PRESIDENCIA  / DIRECCIÓN NACIONAL DE ARCHIVO Y BIBLIOTECAS,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.025,"ANAQUELES: REVISTA DE LA BIBLIOTECA NACIONAL ""FRANCISCO GAVIDIA"" NUEVA ÉPOCA, No. 01, 2015",SECRETARIA DE CULTURA DE LA PRESIDENCIA  / DIRECCIÓN NACIONAL DE ARCHIVO Y BIBLIOTECAS,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.026,"BOLETÍN 27: ACADEMIA SALVADOREÑA DE LA LENGUA, CORRESPONDIENTE A LA REAL ACADEMIA ESPAÑOLA",SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.027,"CONTEXTO LATINOAMERICANO: REVISTA DE ANÁLISIS POLÍTICO, No. 1 SEPTIEMBRE - DICIEMBRE DE 2006",OCEAN SUR,ROBERTO REGALADO,BUEN ESTADO,M1A1
DRTSC.2.028,"CUADERNO DE INVESTIGACIÓN: AÑO 1, N° 1, 2004, EMIGRACIÓN",UNIVERSIDAD FRANCISCO GAVIDIA,UFG EDITORES,BUEN ESTADO,M1A1
DRTSC.2.029,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 81 ENERO - ABRIL 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.030,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 81 ENERO - ABRIL 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.031,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 81 ENERO - ABRIL 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.032,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 82 MAYO - AGOSTO 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.033,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 82 MAYO - AGOSTO 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.034,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 82 MAYO - AGOSTO 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.035,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 83 SEPTIEMBRE - DICIEMBRE 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.036,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 83 SEPTIEMBRE - DICIEMBRE 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.037,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 83 SEPTIEMBRE - DICIEMBRE 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.038,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 83 SEPTIEMBRE - DICIEMBRE 1998,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.039,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 85 MAYO - AGOSTO 1999,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.040,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 85 MAYO - AGOSTO 1999,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.041,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 85 MAYO - AGOSTO 1999,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.042,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 86 ENERO - ABRIL 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.043,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 86 ENERO - ABRIL 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.044,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 86 ENERO - ABRIL 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.045,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 87 / 88  MAYO - DICIEMBRE 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.046,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 87 / 88 MAYO - DICIEMBRE 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.047,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 87 / 88 MAYO - DICIEMBRE 2002,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.048,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 94 SEPTIEMBRE - DICIEMBRE 2006,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.049,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 94 SEPTIEMBRE - DICIEMBRE 2006,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.050,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 94 SEPTIEMBRE - DICIEMBRE 2006,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.051,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 95 ENERO - ABRIL 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.052,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 95 ENERO - ABRIL 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.053,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 95 ENERO - ABRIL 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.054,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 96 MAYO - AGOSTO 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.055,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 96 MAYO - AGOSTO 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.056,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 96 MAYO - AGOSTO 2007,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,BUEN ESTADO,M1A2
DRTSC.2.057,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 97 / 98 SEPTIEMBRE 2007 - ABRIL 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.058,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 97 / 98 SEPTIEMBRE 2007 - ABRIL 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.059,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 97 / 98 SEPTIEMBRE 2007 - ABRIL 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.060,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 99 MAYO - AGOSTO 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.061,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 99 MAYO - AGOSTO 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.062,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE.  No. 99 MAYO - AGOSTO 2008,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.063,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 100 SEPTIEMBRE 2008 - FEBRERO 2009,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.064,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 100 SEPTIEMBRE 2008 - FEBRERO 2009,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.065,CULTURA: REVISTA DEL CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE. No. 100 SEPTIEMBRE 2008 - FEBRERO 2009,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA),DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A2
DRTSC.2.066,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 103 JULIO - OCTUBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.067,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 103 JULIO - OCTUBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.068,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 103 JULIO - OCTUBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.069,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 104 NOVIEMBRE - DICIEMBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.070,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 104 NOVIEMBRE - DICIEMBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.071,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 104 NOVIEMBRE - DICIEMBRE 2010,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.072,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 105 ENERO - MARZO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.073,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 105 ENERO - MARZO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.074,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 105 ENERO - MARZO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.075,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 106 ABRIL - JUNIO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.076,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 106 ABRIL - JUNIO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.077,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 106 ABRIL - JUNIO 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.078,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 107 JULIO - DICIEMBRE 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.079,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 107 JULIO - DICIEMBRE 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.080,CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA.  No. 107 JULIO - DICIEMBRE 2011,SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.081,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 109, ENERO - ABRIL 2013.",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.082,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 109, ENERO - ABRIL 2013.",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.083,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 109, ENERO - ABRIL 2013.",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.084,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 110, MAYO - AGOSTO 2013",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.085,"REVISTA CULTURA 110, MAYO - AGOSTO 2013. SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.086,"REVISTA CULTURA 110, MAYO - AGOSTO 2013. SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.087,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 111, SEPTIEMBRE - DICIEMBRE 2013.",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
DRTSC.2.088,"CULTURA: REVISTA DE LA SECRETARÍA DE CULTURA DE LA PRESIDENCIA DE EL SALVADOR, No. 111, SEPTIEMBRE - DICIEMBRE 2013.",SECRETARÍA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS,EXCELENTE,M1A3
